name,mz
"FA(84:0)(OH,Ke,cyclo)",1236.255183
"FA(84:0)(OH2,cyclo)",1238.270833
"FA(87:0)(OH,Ke,cyclo)",1278.302133
"FA(87:0)(OH2,cyclo)",1280.317783
FA(8:2),139.07595
FA(8:2)(OH),155.070865
FA(8:0(KE2)),171.06578
FA(8:1),141.0916
FA(8:1(OH)),157.086515
FA(8:0),143.10725
FA(8:0(OH)),159.102165
FA(8:0(OH2)),175.09708
FA(8:6),131.013349
FA(8:5),133.029
FA(9:1),183.065779
FA(19:2),153.0916
FA(19:2(OH)),169.086515
FA(9:1),233.01776
FA(9:1),155.10725
FA(9:1(OH)),171.102165
FA(9:0),157.1229
FA(9:0(OH)),173.117815
FA(9:5(OH)),163.039565
